firstname,lastname,age,campus,qualification,email,id
Alexis,Shields,54,Dunedin,,Alexis.Shields@lecturer.whitecliffe.ac.nz,AleShi_WHITECLIFFE
Stephanie,Hendrix,50,Auckland,,Stephanie.Hendrix@lecturer.whitecliffe.ac.nz,SteHen_WHITECLIFFE
Tracy,Nelson,21,Hamilton,,Tracy.Nelson@lecturer.whitecliffe.ac.nz,TraNel_WHITECLIFFE
Jacob,Fuller,34,Wellington,,Jacob.Fuller@lecturer.whitecliffe.ac.nz,JacFul_WHITECLIFFE
Alyssa,Gomez,29,Wellington,,Alyssa.Gomez@lecturer.whitecliffe.ac.nz,AlyGom_WHITECLIFFE
Justin,Martinez,36,Hamilton,,Justin.Martinez@lecturer.whitecliffe.ac.nz,JusMar_WHITECLIFFE
Xavier,Carter,24,Christchurch,,Xavier.Carter@lecturer.whitecliffe.ac.nz,XavCar_WHITECLIFFE
Brianna,Chan,20,Wellington,,Brianna.Chan@lecturer.whitecliffe.ac.nz,BriCha_WHITECLIFFE
Donna,Hill,26,Auckland,,Donna.Hill@lecturer.whitecliffe.ac.nz,DonHil_WHITECLIFFE
Kristen,Johnson,40,Wellington,,Kristen.Johnson@lecturer.whitecliffe.ac.nz,KriJoh_WHITECLIFFE
Susan,Cantu,37,Christchurch,,Susan.Cantu@lecturer.whitecliffe.ac.nz,SusCan_WHITECLIFFE
Christina,Holloway,55,Auckland,,Christina.Holloway@lecturer.whitecliffe.ac.nz,ChrHol_WHITECLIFFE
Arthur,Johnson,48,Hamilton,,Arthur.Johnson@lecturer.whitecliffe.ac.nz,ArtJoh_WHITECLIFFE
Logan,Bennett,41,Wellington,,Logan.Bennett@lecturer.whitecliffe.ac.nz,LogBen_WHITECLIFFE
Danielle,Silva,34,Hamilton,,Danielle.Silva@lecturer.whitecliffe.ac.nz,DanSil_WHITECLIFFE
Kristen,Young,36,Christchurch,,Kristen.Young@lecturer.whitecliffe.ac.nz,KriYou_WHITECLIFFE
Jay,Santos,48,Christchurch,,Jay.Santos@lecturer.whitecliffe.ac.nz,JaySan_WHITECLIFFE
Alexandria,Murray,21,Auckland,,Alexandria.Murray@lecturer.whitecliffe.ac.nz,AleMur_WHITECLIFFE
Erin,Tyler,49,Christchurch,,Erin.Tyler@lecturer.whitecliffe.ac.nz,EriTyl_WHITECLIFFE
Patrick,Haas,36,Christchurch,,Patrick.Haas@lecturer.whitecliffe.ac.nz,PatHaa_WHITECLIFFE
Misty,Graham,42,Auckland,,Misty.Graham@lecturer.whitecliffe.ac.nz,MisGra_WHITECLIFFE
Christine,Archer,56,Dunedin,,Christine.Archer@lecturer.whitecliffe.ac.nz,ChrArc_WHITECLIFFE
Ashley,Smith,49,Wellington,,Ashley.Smith@lecturer.whitecliffe.ac.nz,AshSmi_WHITECLIFFE
Stanley,Frederick,20,Wellington,,Stanley.Frederick@lecturer.whitecliffe.ac.nz,StaFre_WHITECLIFFE
Shawn,Nolan,23,Wellington,,Shawn.Nolan@lecturer.whitecliffe.ac.nz,ShaNol_WHITECLIFFE
Derek,Knox,53,Auckland,,Derek.Knox@lecturer.whitecliffe.ac.nz,DerKno_WHITECLIFFE
Tina,Huff,46,Dunedin,,Tina.Huff@lecturer.whitecliffe.ac.nz,TinHuf_WHITECLIFFE
Steven,Gross,42,Hamilton,,Steven.Gross@lecturer.whitecliffe.ac.nz,SteGro_WHITECLIFFE
William,Turner,30,Auckland,,William.Turner@lecturer.whitecliffe.ac.nz,WilTur_WHITECLIFFE
Reginald,Shah,41,Christchurch,,Reginald.Shah@lecturer.whitecliffe.ac.nz,RegSha_WHITECLIFFE
William,Robertson,45,Dunedin,,William.Robertson@lecturer.whitecliffe.ac.nz,WilRob_WHITECLIFFE
James,Adams,32,Auckland,,James.Adams@lecturer.whitecliffe.ac.nz,JamAda_WHITECLIFFE
Jessica,Luna,56,Auckland,,Jessica.Luna@lecturer.whitecliffe.ac.nz,JesLun_WHITECLIFFE
Nicholas,Brown,41,Auckland,,Nicholas.Brown@lecturer.whitecliffe.ac.nz,NicBro_WHITECLIFFE
Tiffany,Smith,46,Auckland,,Tiffany.Smith@lecturer.whitecliffe.ac.nz,TifSmi_WHITECLIFFE
Kathleen,Burns,43,Hamilton,,Kathleen.Burns@lecturer.whitecliffe.ac.nz,KatBur_WHITECLIFFE
Heidi,Rogers,38,Auckland,,Heidi.Rogers@lecturer.whitecliffe.ac.nz,HeiRog_WHITECLIFFE
Jason,Bowen,25,Hamilton,,Jason.Bowen@lecturer.whitecliffe.ac.nz,JasBow_WHITECLIFFE
Edward,Cherry,43,Hamilton,,Edward.Cherry@lecturer.whitecliffe.ac.nz,EdwChe_WHITECLIFFE
Ashley,Barton,44,Auckland,,Ashley.Barton@lecturer.whitecliffe.ac.nz,AshBar_WHITECLIFFE
Robert,Grant,38,Auckland,,Robert.Grant@lecturer.whitecliffe.ac.nz,RobGra_WHITECLIFFE
Andrew,Webster,37,Christchurch,,Andrew.Webster@lecturer.whitecliffe.ac.nz,AndWeb_WHITECLIFFE
Deborah,Black,58,Dunedin,,Deborah.Black@lecturer.whitecliffe.ac.nz,DebBla_WHITECLIFFE
Rachel,Olson,30,Christchurch,,Rachel.Olson@lecturer.whitecliffe.ac.nz,RacOls_WHITECLIFFE
Preston,Raymond,25,Christchurch,,Preston.Raymond@lecturer.whitecliffe.ac.nz,PreRay_WHITECLIFFE
Jessica,Griffin,28,Auckland,,Jessica.Griffin@lecturer.whitecliffe.ac.nz,JesGri_WHITECLIFFE
Elizabeth,Evans,49,Wellington,,Elizabeth.Evans@lecturer.whitecliffe.ac.nz,EliEva_WHITECLIFFE
Christine,Wolfe,20,Auckland,,Christine.Wolfe@lecturer.whitecliffe.ac.nz,ChrWol_WHITECLIFFE
Bobby,Meyer,20,Auckland,,Bobby.Meyer@lecturer.whitecliffe.ac.nz,BobMey_WHITECLIFFE
Jennifer,Oconnor,25,Dunedin,,Jennifer.Oconnor@lecturer.whitecliffe.ac.nz,JenOco_WHITECLIFFE
Troy,Webb,28,Hamilton,,Troy.Webb@lecturer.whitecliffe.ac.nz,TroWeb_WHITECLIFFE
Bryan,Beltran,44,Christchurch,,Bryan.Beltran@lecturer.whitecliffe.ac.nz,BryBel_WHITECLIFFE
Karla,Holt,34,Wellington,,Karla.Holt@lecturer.whitecliffe.ac.nz,KarHol_WHITECLIFFE
Beth,Scott,24,Auckland,,Beth.Scott@lecturer.whitecliffe.ac.nz,BetSco_WHITECLIFFE
Crystal,Morris,61,Dunedin,,Crystal.Morris@lecturer.whitecliffe.ac.nz,CryMor_WHITECLIFFE
John,Hamilton,56,Auckland,,John.Hamilton@lecturer.whitecliffe.ac.nz,JohHam_WHITECLIFFE
Ryan,Moreno,43,Hamilton,,Ryan.Moreno@lecturer.whitecliffe.ac.nz,RyaMor_WHITECLIFFE
Joshua,Perry,40,Wellington,,Joshua.Perry@lecturer.whitecliffe.ac.nz,JosPer_WHITECLIFFE
Ronald,Stevenson,37,Auckland,,Ronald.Stevenson@lecturer.whitecliffe.ac.nz,RonSte_WHITECLIFFE
Joseph,Dyer,46,Wellington,,Joseph.Dyer@lecturer.whitecliffe.ac.nz,JosDye_WHITECLIFFE
Janice,Davis,39,Auckland,,Janice.Davis@lecturer.whitecliffe.ac.nz,JanDav_WHITECLIFFE
Willie,Miller,45,Hamilton,,Willie.Miller@lecturer.whitecliffe.ac.nz,WilMil_WHITECLIFFE
Joseph,Garza,44,Wellington,,Joseph.Garza@lecturer.whitecliffe.ac.nz,JosGar_WHITECLIFFE
Rodney,Roberts,38,Auckland,,Rodney.Roberts@lecturer.whitecliffe.ac.nz,RodRob_WHITECLIFFE
Jason,Miller,32,Wellington,,Jason.Miller@lecturer.whitecliffe.ac.nz,JasMil_WHITECLIFFE
Luke,Greer,46,Wellington,,Luke.Greer@lecturer.whitecliffe.ac.nz,LukGre_WHITECLIFFE
Robert,Lee,27,Wellington,,Robert.Lee@lecturer.whitecliffe.ac.nz,RobLee_WHITECLIFFE
Ricky,Spencer,33,Wellington,,Ricky.Spencer@lecturer.whitecliffe.ac.nz,RicSpe_WHITECLIFFE
Maurice,Richardson,22,Hamilton,,Maurice.Richardson@lecturer.whitecliffe.ac.nz,MauRic_WHITECLIFFE
Debra,Whitehead,24,Christchurch,,Debra.Whitehead@lecturer.whitecliffe.ac.nz,DebWhi_WHITECLIFFE
Bill,Lopez,23,Auckland,,Bill.Lopez@lecturer.whitecliffe.ac.nz,BilLop_WHITECLIFFE
Carol,Frost,24,Hamilton,,Carol.Frost@lecturer.whitecliffe.ac.nz,CarFro_WHITECLIFFE
Douglas,Brooks,23,Dunedin,,Douglas.Brooks@lecturer.whitecliffe.ac.nz,DouBro_WHITECLIFFE
Heather,Smith,39,Dunedin,,Heather.Smith@lecturer.whitecliffe.ac.nz,HeaSmi_WHITECLIFFE
Robert,Olson,43,Christchurch,,Robert.Olson@lecturer.whitecliffe.ac.nz,RobOls_WHITECLIFFE
Jennifer,Walker,49,Auckland,,Jennifer.Walker@lecturer.whitecliffe.ac.nz,JenWal_WHITECLIFFE
Jared,Dominguez,38,Auckland,,Jared.Dominguez@lecturer.whitecliffe.ac.nz,JarDom_WHITECLIFFE
Miguel,Goodman,58,Christchurch,,Miguel.Goodman@lecturer.whitecliffe.ac.nz,MigGoo_WHITECLIFFE
Tamara,Jackson,48,Auckland,,Tamara.Jackson@lecturer.whitecliffe.ac.nz,TamJac_WHITECLIFFE
David,Hall,40,Christchurch,,David.Hall@lecturer.whitecliffe.ac.nz,DavHal_WHITECLIFFE
Sarah,Gibson,29,Auckland,,Sarah.Gibson@lecturer.whitecliffe.ac.nz,SarGib_WHITECLIFFE
Ashley,Burke,43,Christchurch,,Ashley.Burke@lecturer.whitecliffe.ac.nz,AshBur_WHITECLIFFE
Isaiah,Lopez,24,Hamilton,,Isaiah.Lopez@lecturer.whitecliffe.ac.nz,IsaLop_WHITECLIFFE
Rhonda,Thomas,33,Wellington,,Rhonda.Thomas@lecturer.whitecliffe.ac.nz,RhoTho_WHITECLIFFE
Kathy,Huang,62,Christchurch,,Kathy.Huang@lecturer.whitecliffe.ac.nz,KatHua_WHITECLIFFE
Sharon,Graves,55,Auckland,,Sharon.Graves@lecturer.whitecliffe.ac.nz,ShaGra_WHITECLIFFE
Carlos,Guerrero,47,Wellington,,Carlos.Guerrero@lecturer.whitecliffe.ac.nz,CarGue_WHITECLIFFE
Spencer,Scott,43,Wellington,,Spencer.Scott@lecturer.whitecliffe.ac.nz,SpeSco_WHITECLIFFE
Joseph,Hammond,25,Hamilton,,Joseph.Hammond@lecturer.whitecliffe.ac.nz,JosHam_WHITECLIFFE
Andrea,Reid,39,Auckland,,Andrea.Reid@lecturer.whitecliffe.ac.nz,AndRei_WHITECLIFFE
Robert,Herrera,43,Wellington,,Robert.Herrera@lecturer.whitecliffe.ac.nz,RobHer_WHITECLIFFE
Michael,Lopez,46,Dunedin,,Michael.Lopez@lecturer.whitecliffe.ac.nz,MicLop_WHITECLIFFE
Alicia,Smith,21,Christchurch,,Alicia.Smith@lecturer.whitecliffe.ac.nz,AliSmi_WHITECLIFFE
Alicia,Snyder,45,Hamilton,,Alicia.Snyder@lecturer.whitecliffe.ac.nz,AliSny_WHITECLIFFE
Michelle,Kim,65,Christchurch,,Michelle.Kim@lecturer.whitecliffe.ac.nz,MicKim_WHITECLIFFE
Eric,Brown,31,Auckland,,Eric.Brown@lecturer.whitecliffe.ac.nz,EriBro_WHITECLIFFE
Anna,Murray,41,Wellington,,Anna.Murray@lecturer.whitecliffe.ac.nz,AnnMur_WHITECLIFFE
Jeremiah,Vega,20,Auckland,,Jeremiah.Vega@lecturer.whitecliffe.ac.nz,JerVeg_WHITECLIFFE
Jessica,Pruitt,62,Auckland,,Jessica.Pruitt@lecturer.whitecliffe.ac.nz,JesPru_WHITECLIFFE
Leslie,Vargas,28,Wellington,,Leslie.Vargas@lecturer.whitecliffe.ac.nz,LesVar_WHITECLIFFE
Brenda,Reynolds,25,Christchurch,,Brenda.Reynolds@lecturer.whitecliffe.ac.nz,BreRey_WHITECLIFFE
Andrew,Martin,35,Wellington,,Andrew.Martin@lecturer.whitecliffe.ac.nz,AndMar_WHITECLIFFE
Veronica,Gray,40,Christchurch,,Veronica.Gray@lecturer.whitecliffe.ac.nz,VerGra_WHITECLIFFE
Kristin,Baker,21,Hamilton,,Kristin.Baker@lecturer.whitecliffe.ac.nz,KriBak_WHITECLIFFE
Karen,Hart,40,Auckland,,Karen.Hart@lecturer.whitecliffe.ac.nz,KarHar_WHITECLIFFE
Jason,Bender,27,Auckland,,Jason.Bender@lecturer.whitecliffe.ac.nz,JasBen_WHITECLIFFE
Timothy,Rogers,25,Hamilton,,Timothy.Rogers@lecturer.whitecliffe.ac.nz,TimRog_WHITECLIFFE
Renee,Estrada,22,Wellington,,Renee.Estrada@lecturer.whitecliffe.ac.nz,RenEst_WHITECLIFFE
Laura,Velez,33,Dunedin,,Laura.Velez@lecturer.whitecliffe.ac.nz,LauVel_WHITECLIFFE
James,Waters,42,Hamilton,,James.Waters@lecturer.whitecliffe.ac.nz,JamWat_WHITECLIFFE
Gina,Griffin,39,Auckland,,Gina.Griffin@lecturer.whitecliffe.ac.nz,GinGri_WHITECLIFFE
Ashlee,Gomez,23,Hamilton,,Ashlee.Gomez@lecturer.whitecliffe.ac.nz,AshGom_WHITECLIFFE
Misty,Smith,51,Christchurch,,Misty.Smith@lecturer.whitecliffe.ac.nz,MisSmi_WHITECLIFFE
Aaron,Davis,23,Wellington,,Aaron.Davis@lecturer.whitecliffe.ac.nz,AarDav_WHITECLIFFE
Benjamin,Jones,63,Wellington,,Benjamin.Jones@lecturer.whitecliffe.ac.nz,BenJon_WHITECLIFFE
Samuel,Pruitt,49,Auckland,,Samuel.Pruitt@lecturer.whitecliffe.ac.nz,SamPru_WHITECLIFFE
Evan,Martin,45,Wellington,,Evan.Martin@lecturer.whitecliffe.ac.nz,EvaMar_WHITECLIFFE
Alexander,Harris,27,Auckland,,Alexander.Harris@lecturer.whitecliffe.ac.nz,AleHar_WHITECLIFFE
Mallory,Gray,54,Wellington,,Mallory.Gray@lecturer.whitecliffe.ac.nz,MalGra_WHITECLIFFE
Tony,Payne,30,Wellington,,Tony.Payne@lecturer.whitecliffe.ac.nz,TonPay_WHITECLIFFE
Scott,Dalton,36,Wellington,,Scott.Dalton@lecturer.whitecliffe.ac.nz,ScoDal_WHITECLIFFE
April,Tran,35,Dunedin,,April.Tran@lecturer.whitecliffe.ac.nz,AprTra_WHITECLIFFE
Caroline,Montgomery,26,Auckland,,Caroline.Montgomery@lecturer.whitecliffe.ac.nz,CarMon_WHITECLIFFE
Kevin,Myers,30,Auckland,,Kevin.Myers@lecturer.whitecliffe.ac.nz,KevMye_WHITECLIFFE
Peter,Salas,28,Wellington,,Peter.Salas@lecturer.whitecliffe.ac.nz,PetSal_WHITECLIFFE
Leah,Shea,21,Christchurch,,Leah.Shea@lecturer.whitecliffe.ac.nz,LeaShe_WHITECLIFFE
William,Ross,34,Dunedin,,William.Ross@lecturer.whitecliffe.ac.nz,WilRos_WHITECLIFFE
Brandon,Pham,32,Wellington,,Brandon.Pham@lecturer.whitecliffe.ac.nz,BraPha_WHITECLIFFE
Martha,White,30,Hamilton,,Martha.White@lecturer.whitecliffe.ac.nz,MarWhi_WHITECLIFFE
Scott,Perkins,56,Auckland,,Scott.Perkins@lecturer.whitecliffe.ac.nz,ScoPer_WHITECLIFFE
Charles,Chung,22,Hamilton,,Charles.Chung@lecturer.whitecliffe.ac.nz,ChaChu_WHITECLIFFE
Derrick,Howard,23,Wellington,,Derrick.Howard@lecturer.whitecliffe.ac.nz,DerHow_WHITECLIFFE
Danielle,Cochran,62,Wellington,,Danielle.Cochran@lecturer.whitecliffe.ac.nz,DanCoc_WHITECLIFFE
James,White,48,Wellington,,James.White@lecturer.whitecliffe.ac.nz,JamWhi_WHITECLIFFE
Erin,Norman,42,Christchurch,,Erin.Norman@lecturer.whitecliffe.ac.nz,EriNor_WHITECLIFFE
David,Williams,44,Christchurch,,David.Williams@lecturer.whitecliffe.ac.nz,DavWil_WHITECLIFFE
Heather,Campbell,23,Dunedin,,Heather.Campbell@lecturer.whitecliffe.ac.nz,HeaCam_WHITECLIFFE
Rachel,Ortiz,50,Auckland,,Rachel.Ortiz@lecturer.whitecliffe.ac.nz,RacOrt_WHITECLIFFE
Brian,Ray,33,Hamilton,,Brian.Ray@lecturer.whitecliffe.ac.nz,BriRay_WHITECLIFFE
Jonathan,Simpson,52,Christchurch,,Jonathan.Simpson@lecturer.whitecliffe.ac.nz,JonSim_WHITECLIFFE
Benjamin,Page,49,Auckland,,Benjamin.Page@lecturer.whitecliffe.ac.nz,BenPag_WHITECLIFFE
Rose,Benitez,23,Hamilton,,Rose.Benitez@lecturer.whitecliffe.ac.nz,RosBen_WHITECLIFFE
Kayla,Ramsey,49,Auckland,,Kayla.Ramsey@lecturer.whitecliffe.ac.nz,KayRam_WHITECLIFFE
Melanie,Mendez,37,Christchurch,,Melanie.Mendez@lecturer.whitecliffe.ac.nz,MelMen_WHITECLIFFE
Andres,Moore,44,Christchurch,,Andres.Moore@lecturer.whitecliffe.ac.nz,AndMoo_WHITECLIFFE
Mitchell,Anderson,36,Hamilton,,Mitchell.Anderson@lecturer.whitecliffe.ac.nz,MitAnd_WHITECLIFFE
Robert,Gonzalez,24,Hamilton,,Robert.Gonzalez@lecturer.whitecliffe.ac.nz,RobGon_WHITECLIFFE
Brian,Hernandez,28,Hamilton,,Brian.Hernandez@lecturer.whitecliffe.ac.nz,BriHer_WHITECLIFFE
Amanda,Bell,31,Christchurch,,Amanda.Bell@lecturer.whitecliffe.ac.nz,AmaBel_WHITECLIFFE
Susan,Jones,24,Auckland,,Susan.Jones@lecturer.whitecliffe.ac.nz,SusJon_WHITECLIFFE
Yvonne,Ramos,25,Auckland,,Yvonne.Ramos@lecturer.whitecliffe.ac.nz,YvoRam_WHITECLIFFE
Michael,Rowland,38,Auckland,,Michael.Rowland@lecturer.whitecliffe.ac.nz,MicRow_WHITECLIFFE
Travis,Little,24,Hamilton,,Travis.Little@lecturer.whitecliffe.ac.nz,TraLit_WHITECLIFFE
Rachel,Salinas,43,Christchurch,,Rachel.Salinas@lecturer.whitecliffe.ac.nz,RacSal_WHITECLIFFE
Krystal,Anderson,33,Hamilton,,Krystal.Anderson@lecturer.whitecliffe.ac.nz,KryAnd_WHITECLIFFE
Bobby,Roberts,22,Hamilton,,Bobby.Roberts@lecturer.whitecliffe.ac.nz,BobRob_WHITECLIFFE
Anna,Morgan,34,Wellington,,Anna.Morgan@lecturer.whitecliffe.ac.nz,AnnMor_WHITECLIFFE
Anna,Watson,40,Christchurch,,Anna.Watson@lecturer.whitecliffe.ac.nz,AnnWat_WHITECLIFFE
Robert,Martinez,43,Christchurch,,Robert.Martinez@lecturer.whitecliffe.ac.nz,RobMar_WHITECLIFFE
Justin,Roberts,27,Wellington,,Justin.Roberts@lecturer.whitecliffe.ac.nz,JusRob_WHITECLIFFE
Kimberly,Anderson,44,Auckland,,Kimberly.Anderson@lecturer.whitecliffe.ac.nz,KimAnd_WHITECLIFFE
Leonard,Walton,58,Wellington,,Leonard.Walton@lecturer.whitecliffe.ac.nz,LeoWal_WHITECLIFFE
Julie,Hernandez,30,Christchurch,,Julie.Hernandez@lecturer.whitecliffe.ac.nz,JulHer_WHITECLIFFE
Courtney,Green,25,Wellington,,Courtney.Green@lecturer.whitecliffe.ac.nz,CouGre_WHITECLIFFE
Victoria,Taylor,37,Auckland,,Victoria.Taylor@lecturer.whitecliffe.ac.nz,VicTay_WHITECLIFFE
Scott,Martin,45,Christchurch,,Scott.Martin@lecturer.whitecliffe.ac.nz,ScoMar_WHITECLIFFE
Kelli,Simmons,41,Wellington,,Kelli.Simmons@lecturer.whitecliffe.ac.nz,KelSim_WHITECLIFFE
Crystal,Pruitt,22,Christchurch,,Crystal.Pruitt@lecturer.whitecliffe.ac.nz,CryPru_WHITECLIFFE
Katrina,Garcia,45,Christchurch,,Katrina.Garcia@lecturer.whitecliffe.ac.nz,KatGar_WHITECLIFFE
Lindsay,Kennedy,37,Auckland,,Lindsay.Kennedy@lecturer.whitecliffe.ac.nz,LinKen_WHITECLIFFE
Andrea,Craig,33,Auckland,,Andrea.Craig@lecturer.whitecliffe.ac.nz,AndCra_WHITECLIFFE
Laura,Ellis,56,Hamilton,,Laura.Ellis@lecturer.whitecliffe.ac.nz,LauEll_WHITECLIFFE
Michael,Wyatt,29,Wellington,,Michael.Wyatt@lecturer.whitecliffe.ac.nz,MicWya_WHITECLIFFE
Laura,Vargas,63,Auckland,,Laura.Vargas@lecturer.whitecliffe.ac.nz,LauVar_WHITECLIFFE
Kendra,Pugh,33,Hamilton,,Kendra.Pugh@lecturer.whitecliffe.ac.nz,KenPug_WHITECLIFFE
Brandon,Bailey,26,Auckland,,Brandon.Bailey@lecturer.whitecliffe.ac.nz,BraBai_WHITECLIFFE
James,Conway,44,Auckland,,James.Conway@lecturer.whitecliffe.ac.nz,JamCon_WHITECLIFFE
Zoe,Mccoy,46,Dunedin,,Zoe.Mccoy@lecturer.whitecliffe.ac.nz,ZoeMcc_WHITECLIFFE
Stephen,Hughes,40,Dunedin,,Stephen.Hughes@lecturer.whitecliffe.ac.nz,SteHug_WHITECLIFFE
Robert,Mueller,49,Dunedin,,Robert.Mueller@lecturer.whitecliffe.ac.nz,RobMue_WHITECLIFFE
Patrick,Soto,44,Christchurch,,Patrick.Soto@lecturer.whitecliffe.ac.nz,PatSot_WHITECLIFFE
Scott,Douglas,51,Hamilton,,Scott.Douglas@lecturer.whitecliffe.ac.nz,ScoDou_WHITECLIFFE
Cynthia,Ochoa,27,Christchurch,,Cynthia.Ochoa@lecturer.whitecliffe.ac.nz,CynOch_WHITECLIFFE
Kenneth,Duncan,43,Dunedin,,Kenneth.Duncan@lecturer.whitecliffe.ac.nz,KenDun_WHITECLIFFE
Tristan,Cox,23,Auckland,,Tristan.Cox@lecturer.whitecliffe.ac.nz,TriCox_WHITECLIFFE
Anne,Whitaker,41,Wellington,,Anne.Whitaker@lecturer.whitecliffe.ac.nz,AnnWhi_WHITECLIFFE
Evan,Allen,39,Hamilton,,Evan.Allen@lecturer.whitecliffe.ac.nz,EvaAll_WHITECLIFFE
Sara,Williams,46,Auckland,,Sara.Williams@lecturer.whitecliffe.ac.nz,SarWil_WHITECLIFFE
Laurie,Barry,20,Wellington,,Laurie.Barry@lecturer.whitecliffe.ac.nz,LauBar_WHITECLIFFE
Keith,Wagner,26,Hamilton,,Keith.Wagner@lecturer.whitecliffe.ac.nz,KeiWag_WHITECLIFFE
Ricardo,Hopkins,30,Hamilton,,Ricardo.Hopkins@lecturer.whitecliffe.ac.nz,RicHop_WHITECLIFFE
Greg,Lester,48,Auckland,,Greg.Lester@lecturer.whitecliffe.ac.nz,GreLes_WHITECLIFFE
Margaret,Contreras,30,Wellington,,Margaret.Contreras@lecturer.whitecliffe.ac.nz,MarCon_WHITECLIFFE
Sarah,Wallace,28,Wellington,,Sarah.Wallace@lecturer.whitecliffe.ac.nz,SarWal_WHITECLIFFE
Brian,Foster,30,Auckland,,Brian.Foster@lecturer.whitecliffe.ac.nz,BriFos_WHITECLIFFE
Catherine,Richardson,48,Wellington,,Catherine.Richardson@lecturer.whitecliffe.ac.nz,CatRic_WHITECLIFFE
Amy,Coleman,26,Wellington,,Amy.Coleman@lecturer.whitecliffe.ac.nz,AmyCol_WHITECLIFFE
Rachel,Wade,65,Auckland,,Rachel.Wade@lecturer.whitecliffe.ac.nz,RacWad_WHITECLIFFE
Krystal,Roth,31,Wellington,,Krystal.Roth@lecturer.whitecliffe.ac.nz,KryRot_WHITECLIFFE
Lauren,Frazier,33,Wellington,,Lauren.Frazier@lecturer.whitecliffe.ac.nz,LauFra_WHITECLIFFE
Christopher,Snyder,42,Auckland,,Christopher.Snyder@lecturer.whitecliffe.ac.nz,ChrSny_WHITECLIFFE
James,Sullivan,29,Hamilton,,James.Sullivan@lecturer.whitecliffe.ac.nz,JamSul_WHITECLIFFE
Theresa,Edwards,33,Christchurch,,Theresa.Edwards@lecturer.whitecliffe.ac.nz,TheEdw_WHITECLIFFE
Brenda,Goodman,27,Christchurch,,Brenda.Goodman@lecturer.whitecliffe.ac.nz,BreGoo_WHITECLIFFE
Billy,Morgan,38,Wellington,,Billy.Morgan@lecturer.whitecliffe.ac.nz,BilMor_WHITECLIFFE
Lisa,Koch,36,Hamilton,,Lisa.Koch@lecturer.whitecliffe.ac.nz,LisKoc_WHITECLIFFE
Autumn,Bullock,27,Auckland,,Autumn.Bullock@lecturer.whitecliffe.ac.nz,AutBul_WHITECLIFFE
Breanna,Garner,38,Auckland,,Breanna.Garner@lecturer.whitecliffe.ac.nz,BreGar_WHITECLIFFE
Corey,Rios,49,Christchurch,,Corey.Rios@lecturer.whitecliffe.ac.nz,CorRio_WHITECLIFFE
Gloria,Johnson,31,Wellington,,Gloria.Johnson@lecturer.whitecliffe.ac.nz,GloJoh_WHITECLIFFE
Ryan,Elliott,58,Wellington,,Ryan.Elliott@lecturer.whitecliffe.ac.nz,RyaEll_WHITECLIFFE
Joshua,Vance,31,Christchurch,,Joshua.Vance@lecturer.whitecliffe.ac.nz,JosVan_WHITECLIFFE
Christopher,Aguilar,21,Auckland,,Christopher.Aguilar@lecturer.whitecliffe.ac.nz,ChrAgu_WHITECLIFFE
Christine,King,20,Dunedin,,Christine.King@lecturer.whitecliffe.ac.nz,ChrKin_WHITECLIFFE
James,Elliott,37,Dunedin,,James.Elliott@lecturer.whitecliffe.ac.nz,JamEll_WHITECLIFFE
Brandon,Charles,26,Auckland,,Brandon.Charles@lecturer.whitecliffe.ac.nz,BraCha_WHITECLIFFE
William,Ortiz,28,Christchurch,,William.Ortiz@lecturer.whitecliffe.ac.nz,WilOrt_WHITECLIFFE
Audrey,Lee,44,Wellington,,Audrey.Lee@lecturer.whitecliffe.ac.nz,AudLee_WHITECLIFFE
Brandon,Chen,55,Wellington,,Brandon.Chen@lecturer.whitecliffe.ac.nz,BraChe_WHITECLIFFE
Corey,Stewart,47,Wellington,,Corey.Stewart@lecturer.whitecliffe.ac.nz,CorSte_WHITECLIFFE
John,Davis,24,Wellington,,John.Davis@lecturer.whitecliffe.ac.nz,JohDav_WHITECLIFFE
Amanda,Perry,30,Christchurch,,Amanda.Perry@lecturer.whitecliffe.ac.nz,AmaPer_WHITECLIFFE
Mark,Thomas,52,Christchurch,,Mark.Thomas@lecturer.whitecliffe.ac.nz,MarTho_WHITECLIFFE
Anthony,Arroyo,36,Wellington,,Anthony.Arroyo@lecturer.whitecliffe.ac.nz,AntArr_WHITECLIFFE
Evan,Haynes,50,Wellington,,Evan.Haynes@lecturer.whitecliffe.ac.nz,EvaHay_WHITECLIFFE
Jennifer,Jones,21,Wellington,,Jennifer.Jones@lecturer.whitecliffe.ac.nz,JenJon_WHITECLIFFE
Christina,Tran,39,Christchurch,,Christina.Tran@lecturer.whitecliffe.ac.nz,ChrTra_WHITECLIFFE
Heidi,Avery,47,Dunedin,,Heidi.Avery@lecturer.whitecliffe.ac.nz,HeiAve_WHITECLIFFE
Nicholas,Nielsen,26,Auckland,,Nicholas.Nielsen@lecturer.whitecliffe.ac.nz,NicNie_WHITECLIFFE
Lynn,Haynes,24,Wellington,,Lynn.Haynes@lecturer.whitecliffe.ac.nz,LynHay_WHITECLIFFE
Robert,Johnson,49,Dunedin,,Robert.Johnson@lecturer.whitecliffe.ac.nz,RobJoh_WHITECLIFFE
Betty,Garcia,30,Christchurch,,Betty.Garcia@lecturer.whitecliffe.ac.nz,BetGar_WHITECLIFFE
